gene,gene_description
TMEM159,transmembrane protein 159 [Source:HGNC Symbol;Acc:HGNC:30136]
C19orf12,chromosome 19 open reading frame 12 [Source:HGNC Symbol;Acc:HGNC:25443]
MRPL14,mitochondrial ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:14279]
N4BP2L1,NEDD4 binding protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:25037]
ADGRG3,adhesion G protein-coupled receptor G3 [Source:HGNC Symbol;Acc:HGNC:13728]
AL662844.4,"novel transcript, antisense to HCG27"
HMGN3,high mobility group nucleosomal binding domain 3 [Source:HGNC Symbol;Acc:HGNC:12312]
SFPQ,splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]
GGT7,gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]
SFT2D2,SFT2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25140]
BCL7B,BCL tumor suppressor 7B [Source:HGNC Symbol;Acc:HGNC:1005]
USP33,ubiquitin specific peptidase 33 [Source:HGNC Symbol;Acc:HGNC:20059]
MSTO1,"misato 1, mitochondrial distribution and morphology regulator [Source:HGNC Symbol;Acc:HGNC:29678]"
HOXC10,homeobox C10 [Source:HGNC Symbol;Acc:HGNC:5122]
HSPBAP1,HSPB1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16389]
OCLN,occludin [Source:HGNC Symbol;Acc:HGNC:8104]
TRIM37,tripartite motif containing 37 [Source:HGNC Symbol;Acc:HGNC:7523]
OAS1,2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]
TANGO2,transport and golgi organization 2 homolog [Source:HGNC Symbol;Acc:HGNC:25439]
GMNN,"geminin, DNA replication inhibitor [Source:HGNC Symbol;Acc:HGNC:17493]"
NOL4,nucleolar protein 4 [Source:HGNC Symbol;Acc:HGNC:7870]
MITD1,microtubule interacting and trafficking domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25207]
KCNN4,potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]
SECTM1,secreted and transmembrane 1 [Source:HGNC Symbol;Acc:HGNC:10707]
NPIPB4,nuclear pore complex interacting protein family member B4 [Source:HGNC Symbol;Acc:HGNC:41985]
KCTD21,potassium channel tetramerization domain containing 21 [Source:HGNC Symbol;Acc:HGNC:27452]
IDI1,isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]
AC093323.1,Morf4 family associated protein 1 like 1 pseudogene [Source:NCBI gene;Acc:93622]
FAM204A,family with sequence similarity 204 member A [Source:HGNC Symbol;Acc:HGNC:25794]
POM121,POM121 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:19702]
GCC1,GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095]
DIS3,"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:HGNC Symbol;Acc:HGNC:20604]"
ZBTB8OS,zinc finger and BTB domain containing 8 opposite strand [Source:HGNC Symbol;Acc:HGNC:24094]
SETD1A,SET domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29010]
GSN,gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]
DPM2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory [Source:HGNC Symbol;Acc:HGNC:3006]"
SLF1,SMC5-SMC6 complex localization factor 1 [Source:HGNC Symbol;Acc:HGNC:25408]
CIDECP,cell death-inducing DFFA-like effector c pseudogene [Source:HGNC Symbol;Acc:HGNC:24230]
BEND4,BEN domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23815]
ELOF1,elongation factor 1 homolog [Source:HGNC Symbol;Acc:HGNC:28691]
ANAPC13,anaphase promoting complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:24540]
AC100803.3,"novel transcript, antisense to MROH5"
CHCHD7,coiled-coil-helix-coiled-coil-helix domain containing 7 [Source:HGNC Symbol;Acc:HGNC:28314]
PDPN,podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]
AC092368.3,novel transcript
EXOSC8,exosome component 8 [Source:HGNC Symbol;Acc:HGNC:17035]
SMPDL3A,sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]
MRPL24,mitochondrial ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:14037]
P4HA1,prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]
CCAR1,cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:24236]
AC127496.7,uncharacterized LOC100129503 [Source:NCBI gene;Acc:100129503]
ZNF692,zinc finger protein 692 [Source:HGNC Symbol;Acc:HGNC:26049]
UBN2,ubinuclein 2 [Source:HGNC Symbol;Acc:HGNC:21931]
TP53I13,tumor protein p53 inducible protein 13 [Source:HGNC Symbol;Acc:HGNC:25102]
TRIM26,tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]
TBC1D12,TBC1 domain family member 12 [Source:HGNC Symbol;Acc:HGNC:29082]
SEC11C,"SEC11 homolog C, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:23400]"
CYTH1,cytohesin 1 [Source:HGNC Symbol;Acc:HGNC:9501]
YY1AP1,YY1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30935]
AC091230.1,novel transcript
AADAT,aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]
RBM44,RNA binding motif protein 44 [Source:HGNC Symbol;Acc:HGNC:24756]
CTDSPL,CTD small phosphatase like [Source:HGNC Symbol;Acc:HGNC:16890]
SNRPG,small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]
CCDC91,coiled-coil domain containing 91 [Source:HGNC Symbol;Acc:HGNC:24855]
COPB2,coatomer protein complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]
C18orf32,chromosome 18 open reading frame 32 [Source:HGNC Symbol;Acc:HGNC:31690]
MPLKIP,M-phase specific PLK1 interacting protein [Source:HGNC Symbol;Acc:HGNC:16002]
AC132216.1,"novel transcript, antisense to LMO2"
AC005674.2,"novel transcript, overlapping WDR1"
PTPA,protein phosphatase 2 phosphatase activator [Source:HGNC Symbol;Acc:HGNC:9308]
RPRD2,regulation of nuclear pre-mRNA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29039]
ABHD6,abhydrolase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21398]
PIBF1,progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]
KCTD17,potassium channel tetramerization domain containing 17 [Source:HGNC Symbol;Acc:HGNC:25705]
PEX2,peroxisomal biogenesis factor 2 [Source:HGNC Symbol;Acc:HGNC:9717]
RNGTT,RNA guanylyltransferase and 5'-phosphatase [Source:HGNC Symbol;Acc:HGNC:10073]
WSCD1,WSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29060]
COX10-AS1,COX10 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:38873]
LIMD2,LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28142]
SLC22A15,solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301]
CTSO,cathepsin O [Source:HGNC Symbol;Acc:HGNC:2542]
CCR1,C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]
SALL1,spalt like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10524]
LINC01278,long intergenic non-protein coding RNA 1278 [Source:HGNC Symbol;Acc:HGNC:28090]
LGALS9,galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]
SHANK3,SH3 and multiple ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:14294]
TFAP2A-AS1,TFAP2A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40579]
EIF4G3,eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]
SIRPB1,signal regulatory protein beta 1 [Source:HGNC Symbol;Acc:HGNC:15928]
TGOLN2,trans-golgi network protein 2 [Source:HGNC Symbol;Acc:HGNC:15450]
ZC3H12D,zinc finger CCCH-type containing 12D [Source:HGNC Symbol;Acc:HGNC:21175]
SH2B1,SH2B adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30417]
ZNF738,zinc finger protein 738 [Source:HGNC Symbol;Acc:HGNC:32469]
SSBP1,single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317]
RAB38,"RAB38, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9776]"
TXN2,thioredoxin 2 [Source:HGNC Symbol;Acc:HGNC:17772]
HOXC12,homeobox C12 [Source:HGNC Symbol;Acc:HGNC:5124]
PARP10,poly(ADP-ribose) polymerase family member 10 [Source:HGNC Symbol;Acc:HGNC:25895]
EXOSC2,exosome component 2 [Source:HGNC Symbol;Acc:HGNC:17097]
C1orf159,chromosome 1 open reading frame 159 [Source:HGNC Symbol;Acc:HGNC:26062]
MCTP2,multiple C2 and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25636]
TPD52,tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]
RIT1,Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]
FAM98C,family with sequence similarity 98 member C [Source:HGNC Symbol;Acc:HGNC:27119]
TMEM98,transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]
SECISBP2,SECIS binding protein 2 [Source:HGNC Symbol;Acc:HGNC:30972]
TCEA1,transcription elongation factor A1 [Source:HGNC Symbol;Acc:HGNC:11612]
SENP6,SUMO specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:20944]
RBM15B,RNA binding motif protein 15B [Source:HGNC Symbol;Acc:HGNC:24303]
STYXL1,serine/threonine/tyrosine interacting like 1 [Source:HGNC Symbol;Acc:HGNC:18165]
PCM1,pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727]
COQ4,coenzyme Q4 [Source:HGNC Symbol;Acc:HGNC:19693]
FIP1L1,factor interacting with PAPOLA and CPSF1 [Source:HGNC Symbol;Acc:HGNC:19124]
UBC,ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]
ZKSCAN2,zinc finger with KRAB and SCAN domains 2 [Source:HGNC Symbol;Acc:HGNC:25677]
CYP2E1,cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]
SLC16A1-AS1,SLC16A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49445]
RHEBP2,RHEB pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44991]
TMEM229B,transmembrane protein 229B [Source:HGNC Symbol;Acc:HGNC:20130]
ZNF688,zinc finger protein 688 [Source:HGNC Symbol;Acc:HGNC:30489]
GBAP1,glucosylceramidase beta pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4178]
CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769]
TSPY26P,"testis specific protein Y-linked 26, pseudogene [Source:HGNC Symbol;Acc:HGNC:16256]"
ZNF280C,zinc finger protein 280C [Source:HGNC Symbol;Acc:HGNC:25955]
TMPO-AS1,TMPO antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44158]
TTC19,tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]
TRIM5,tripartite motif containing 5 [Source:HGNC Symbol;Acc:HGNC:16276]
THUMPD2,THUMP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14890]
SRGAP2B,SLIT-ROBO Rho GTPase activating protein 2B [Source:HGNC Symbol;Acc:HGNC:35237]
RCE1,Ras converting CAAX endopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:13721]
C8orf59,chromosome 8 open reading frame 59 [Source:HGNC Symbol;Acc:HGNC:32235]
PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]"
LRRC37A17P,"leucine rich repeat containing 37 member A17, pseudogene [Source:HGNC Symbol;Acc:HGNC:48365]"
FAM160B1,family with sequence similarity 160 member B1 [Source:HGNC Symbol;Acc:HGNC:29320]
SMOC1,SPARC related modular calcium binding 1 [Source:HGNC Symbol;Acc:HGNC:20318]
LINC02019,long intergenic non-protein coding RNA 2019 [Source:HGNC Symbol;Acc:HGNC:52854]
TP53INP1,tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022]
ZYG11A,"zyg-11 family member A, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:32058]"
EFNB2,ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]
LINC00243,long intergenic non-protein coding RNA 243 [Source:HGNC Symbol;Acc:HGNC:30956]
UBE2E1,ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]
TUSC2,"tumor suppressor 2, mitochondrial calcium regulator [Source:HGNC Symbol;Acc:HGNC:17034]"
PPP4R1,protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]
CRMP1,collapsin response mediator protein 1 [Source:HGNC Symbol;Acc:HGNC:2365]
TNFAIP3,TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]
AC105277.1,uncharacterized LOC105378753 [Source:NCBI gene;Acc:105378753]
NR2F6,nuclear receptor subfamily 2 group F member 6 [Source:HGNC Symbol;Acc:HGNC:7977]
DIAPH1,diaphanous related formin 1 [Source:HGNC Symbol;Acc:HGNC:2876]
KLF12,Kruppel like factor 12 [Source:HGNC Symbol;Acc:HGNC:6346]
PSMC3,"proteasome 26S subunit, ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9549]"
AC005481.1,uncharacterized LOC105375614 [Source:NCBI gene;Acc:105375614]
MZT2A,mitotic spindle organizing protein 2A [Source:HGNC Symbol;Acc:HGNC:33187]
HNRNPA1P7,heterogeneous nuclear ribonucleoprotein A1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:31015]
GABARAPL1,GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]
TMEM109,transmembrane protein 109 [Source:HGNC Symbol;Acc:HGNC:28771]
CLEC4D,C-type lectin domain family 4 member D [Source:HGNC Symbol;Acc:HGNC:14554]
ITGA2,integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]
INTS4,integrator complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:25048]
TIE1,tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]
GINS2,GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]
HDAC9,histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]
PLA2G2C,phospholipase A2 group IIC [Source:HGNC Symbol;Acc:HGNC:9032]
INTS3,integrator complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26153]
UBE3D,ubiquitin protein ligase E3D [Source:HGNC Symbol;Acc:HGNC:21381]
ATP1A1,ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]
GPR37,G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]
NUMBL,"NUMB like, endocytic adaptor protein [Source:HGNC Symbol;Acc:HGNC:8061]"
LINC01282,long intergenic non-protein coding RNA 1282 [Source:HGNC Symbol;Acc:HGNC:50338]
FLVCR1,feline leukemia virus subgroup C cellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:24682]
RSBN1L,round spermatid basic protein 1 like [Source:HGNC Symbol;Acc:HGNC:24765]
AL135925.1,uncharacterized LOC642361 [Source:NCBI gene;Acc:642361]
COLQ,collagen like tail subunit of asymmetric acetylcholinesterase [Source:HGNC Symbol;Acc:HGNC:2226]
AC004233.1,"novel transcript, sense overlapping CLDN6"
PMM1,phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]
EFNA5,ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]
KCTD13,potassium channel tetramerization domain containing 13 [Source:HGNC Symbol;Acc:HGNC:22234]
ZNF689,zinc finger protein 689 [Source:HGNC Symbol;Acc:HGNC:25173]
RPL35A,ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345]
KIF7,kinesin family member 7 [Source:HGNC Symbol;Acc:HGNC:30497]
RBKS,ribokinase [Source:HGNC Symbol;Acc:HGNC:30325]
PRKD3,protein kinase D3 [Source:HGNC Symbol;Acc:HGNC:9408]
CSNK1G3,casein kinase 1 gamma 3 [Source:HGNC Symbol;Acc:HGNC:2456]
KIAA0556,KIAA0556 [Source:HGNC Symbol;Acc:HGNC:29068]
NFAM1,NFAT activating protein with ITAM motif 1 [Source:HGNC Symbol;Acc:HGNC:29872]
AC005632.1,"carbonic anhydrase VA, mitochondrial (CA5A) pseudogene"
FAM53C,family with sequence similarity 53 member C [Source:HGNC Symbol;Acc:HGNC:1336]
SSH3,slingshot protein phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:30581]
RPL38,ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349]
GLYCTK,glycerate kinase [Source:HGNC Symbol;Acc:HGNC:24247]
EEF1A1P6,eukaryotic translation elongation factor 1 alpha 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:3201]
GUCY1A2,guanylate cyclase 1 soluble subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:4684]
AL032819.2,TEC
PAXIP1-AS2,PAXIP1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:48958]
SPEN,spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]
COMMD2,COMM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24993]
MID2,midline 2 [Source:HGNC Symbol;Acc:HGNC:7096]
MRPL28,mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]
IL11RA,interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]
CHCHD2,coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21645]
FAM219B,family with sequence similarity 219 member B [Source:HGNC Symbol;Acc:HGNC:24695]
TMEM164,transmembrane protein 164 [Source:HGNC Symbol;Acc:HGNC:26217]
RCOR3,REST corepressor 3 [Source:HGNC Symbol;Acc:HGNC:25594]
RAB14,"RAB14, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16524]"
ARID2,AT-rich interaction domain 2 [Source:HGNC Symbol;Acc:HGNC:18037]
RPS7P11,ribosomal protein S7 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:35841]
GABBR1,gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]
ITFG1,integrin alpha FG-GAP repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30697]
PKP2,plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]
PCDH7,protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]
KCNH7,potassium voltage-gated channel subfamily H member 7 [Source:HGNC Symbol;Acc:HGNC:18863]
WLS,wntless Wnt ligand secretion mediator [Source:HGNC Symbol;Acc:HGNC:30238]
PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]
ATXN1,ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]
TMED3,transmembrane p24 trafficking protein 3 [Source:HGNC Symbol;Acc:HGNC:28889]
PCBP4,poly(rC) binding protein 4 [Source:HGNC Symbol;Acc:HGNC:8652]
RNF130,ring finger protein 130 [Source:HGNC Symbol;Acc:HGNC:18280]
VTI1A,vesicle transport through interaction with t-SNAREs 1A [Source:HGNC Symbol;Acc:HGNC:17792]
AC130371.2,novel transcript
AL133355.1,"novel transcript, overlapping to OBFC1"
AL139384.1,novel transcript
RPL22L1,ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]
PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]"
TRAPPC10,trafficking protein particle complex 10 [Source:HGNC Symbol;Acc:HGNC:11868]
RPL36,ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631]
XAB2,XPA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14089]
MED31,mediator complex subunit 31 [Source:HGNC Symbol;Acc:HGNC:24260]
NFAT5,nuclear factor of activated T cells 5 [Source:HGNC Symbol;Acc:HGNC:7774]
NTHL1,nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]
RASA4CP,"RAS p21 protein activator 4C, pseudogene [Source:HGNC Symbol;Acc:HGNC:44185]"
PBK,PDZ binding kinase [Source:HGNC Symbol;Acc:HGNC:18282]
SEPHS2,selenophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:19686]
SGSM2,small G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29026]
ZNF425,zinc finger protein 425 [Source:HGNC Symbol;Acc:HGNC:20690]
AFG3L2,AFG3 like matrix AAA peptidase subunit 2 [Source:HGNC Symbol;Acc:HGNC:315]
HSPG2,heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]
ATP6V1G1,ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]
SIX2,SIX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10888]
LINC00528,long intergenic non-protein coding RNA 528 [Source:HGNC Symbol;Acc:HGNC:26875]
PDPK1,3-phosphoinositide dependent protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:8816]
ZNHIT1,zinc finger HIT-type containing 1 [Source:HGNC Symbol;Acc:HGNC:21688]
CACNB4,calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]
TMEM184A,transmembrane protein 184A [Source:HGNC Symbol;Acc:HGNC:28797]
MTG1,mitochondrial ribosome associated GTPase 1 [Source:HGNC Symbol;Acc:HGNC:32159]
AC004069.1,novel transcript
ZHX3,zinc fingers and homeoboxes 3 [Source:HGNC Symbol;Acc:HGNC:15935]
PSMB5,proteasome subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:9542]
OXLD1,oxidoreductase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27901]
SRP14,signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]
PCSK7,proprotein convertase subtilisin/kexin type 7 [Source:HGNC Symbol;Acc:HGNC:8748]
ZNF8,zinc finger protein 8 [Source:HGNC Symbol;Acc:HGNC:13154]
RAB34,"RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]"
NELFB,negative elongation factor complex member B [Source:HGNC Symbol;Acc:HGNC:24324]
CCDC174,coiled-coil domain containing 174 [Source:HGNC Symbol;Acc:HGNC:28033]
ZNF710-AS1,ZNF710 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53141]
AKIP1,A-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1170]
WDR44,WD repeat domain 44 [Source:HGNC Symbol;Acc:HGNC:30512]
TPRA1,transmembrane protein adipocyte associated 1 [Source:HGNC Symbol;Acc:HGNC:30413]
KIAA0319L,KIAA0319 like [Source:HGNC Symbol;Acc:HGNC:30071]
KLF15,Kruppel like factor 15 [Source:HGNC Symbol;Acc:HGNC:14536]
HIST1H2AG,histone cluster 1 H2A family member g [Source:HGNC Symbol;Acc:HGNC:4737]
ZNF517,zinc finger protein 517 [Source:HGNC Symbol;Acc:HGNC:27984]
ZBTB39,zinc finger and BTB domain containing 39 [Source:HGNC Symbol;Acc:HGNC:29014]
EGLN2,egl-9 family hypoxia inducible factor 2 [Source:HGNC Symbol;Acc:HGNC:14660]
PRR22,proline rich 22 [Source:HGNC Symbol;Acc:HGNC:28354]
CCDC78,coiled-coil domain containing 78 [Source:HGNC Symbol;Acc:HGNC:14153]
SIRT3,sirtuin 3 [Source:HGNC Symbol;Acc:HGNC:14931]
AC079807.1,novel transcript
VPS29,"VPS29, retromer complex component [Source:HGNC Symbol;Acc:HGNC:14340]"
AATK,apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]
IFIH1,interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]
DNAH8,dynein axonemal heavy chain 8 [Source:HGNC Symbol;Acc:HGNC:2952]
RF00017,
FAM225A,family with sequence similarity 225 member A [Source:HGNC Symbol;Acc:HGNC:27855]
TGDS,"TDP-glucose 4,6-dehydratase [Source:HGNC Symbol;Acc:HGNC:20324]"
AL354719.2,novel transcript
COPS2,COP9 signalosome subunit 2 [Source:HGNC Symbol;Acc:HGNC:30747]
LINC00423,long intergenic non-protein coding RNA 423 [Source:HGNC Symbol;Acc:HGNC:42758]
MCTS1,"MCTS1, re-initiation and release factor [Source:HGNC Symbol;Acc:HGNC:23357]"
EIF4A3,eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]
ZNF557,zinc finger protein 557 [Source:HGNC Symbol;Acc:HGNC:28632]
AC003991.1,"novel transcript, antisense to STEAP4"
DMAP1,DNA methyltransferase 1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18291]
MSRB3,methionine sulfoxide reductase B3 [Source:HGNC Symbol;Acc:HGNC:27375]
FZD2,frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]
NPAT,"nuclear protein, coactivator of histone transcription [Source:HGNC Symbol;Acc:HGNC:7896]"
TMEM243,transmembrane protein 243 [Source:HGNC Symbol;Acc:HGNC:21707]
MSX2,msh homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7392]
HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]
PTPN9,"protein tyrosine phosphatase, non-receptor type 9 [Source:HGNC Symbol;Acc:HGNC:9661]"
ALDH2,aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]
RPL32P3,ribosomal protein L32 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:27024]
KCNG1,potassium voltage-gated channel modifier subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:6248]
SH3RF3,SH3 domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:24699]
ROGDI,rogdi homolog [Source:HGNC Symbol;Acc:HGNC:29478]
SYS1,"SYS1, golgi trafficking protein [Source:HGNC Symbol;Acc:HGNC:16162]"
AC138207.4,"novel transcript, sense intronic RNF135"
RPL21,ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:10313]
SEMA6B,semaphorin 6B [Source:HGNC Symbol;Acc:HGNC:10739]
PLEKHA5,pleckstrin homology domain containing A5 [Source:HGNC Symbol;Acc:HGNC:30036]
LINC01560,long intergenic non-protein coding RNA 1560 [Source:HGNC Symbol;Acc:HGNC:27333]
CITED4,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4 [Source:HGNC Symbol;Acc:HGNC:18696]
SLC25A30,solute carrier family 25 member 30 [Source:HGNC Symbol;Acc:HGNC:27371]
CBS,cystathionine-beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]
ABCC5,ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]
TMEM115,transmembrane protein 115 [Source:HGNC Symbol;Acc:HGNC:30055]
POP5,"POP5 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:17689]"
RUSC1,RUN and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17153]
